Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
"canopy-dual-recycle-station","Canopy Dual Recycle Station","<p>Side-by-side landfill and recycle streams with labeled inner buckets.</p><ul><li>Material: Powder-coated steel</li><li>Size: 24"" × 14"" × 28""</li><li>Finish: Matte Sage</li><li>Highlight: Dual stream</li><li>Weight: 22 lb</li></ul>","Verdance","Waste Systems","waste-systems, recycle, dual","TRUE","Finish","Matte Sage","VD-018","9979","shopify","25","deny","manual","189.00","219.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/canopy-dual-recycle-station.webp","Canopy Dual Recycle Station","active"
"root-automatic-kitchen-bin","Root Automatic Kitchen Bin","<p>IR sensor, soft-close, and a removable liner ring that holds compostable bags.</p><ul><li>Material: Stainless steel</li><li>Size: 14"" × 11"" × 26""</li><li>Finish: Soft Black</li><li>Highlight: Soft-close</li><li>Weight: 10 lb</li></ul>","Verdance","Waste Systems","waste-systems, sensor, kitchen","TRUE","Finish","Soft Black","VD-019","4536","shopify","25","deny","manual","99.00","119.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/root-automatic-kitchen-bin.webp","Root Automatic Kitchen Bin","active"
"root-slim-recycle-dispenser","Root Slim Recycle Dispenser","<p>Narrow recycle-only can for galley kitchens. Bag-cinch collar included.</p><ul><li>Material: Recycled ABS</li><li>Size: 10"" × 10"" × 26""</li><li>Finish: Cloud</li><li>Highlight: Slim profile</li><li>Weight: 7 lb</li></ul>","Verdance","Waste Systems","waste-systems, recycle, slim","TRUE","Finish","Cloud","VD-020","3175","shopify","25","deny","manual","79.00","89.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/root-slim-recycle-dispenser.webp","Root Slim Recycle Dispenser","active"
"moss-touchless-can-45l","Moss Touchless Can 45L","<p>Large-capacity sensor can for busy kitchens. Battery or USB-C power.</p><ul><li>Material: Stainless steel</li><li>Size: 16"" × 13"" × 30""</li><li>Finish: Graphite</li><li>Highlight: 45L capacity</li><li>Weight: 14 lb</li></ul>","Verdance","Waste Systems","waste-systems, sensor, large","TRUE","Finish","Graphite","VD-021","6350","shopify","25","deny","manual","149.00","169.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/moss-touchless-can-45l.webp","Moss Touchless Can 45L","active"
"moss-compact-kitchen-compactor","Moss Compact Kitchen Compactor","<p>Under-counter compactor that reduces landfill volume without a full remodel.</p><ul><li>Material: Powder-coated steel</li><li>Size: 15"" × 22"" × 34""</li><li>Finish: White</li><li>Highlight: Compacts waste</li><li>Weight: 62 lb</li></ul>","Verdance","Waste Systems","waste-systems, compactor","TRUE","Finish","White","VD-022","28123","shopify","25","deny","manual","399.00","449.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/moss-compact-kitchen-compactor.webp","Moss Compact Kitchen Compactor","active"
"grove-sensor-can-stainless","Grove Sensor Can Stainless","<p>Mirror-finish sensor can with a quiet motor and child-lock button.</p><ul><li>Material: Stainless steel</li><li>Size: 15"" × 12"" × 27""</li><li>Finish: Mirror Steel</li><li>Highlight: Child lock</li><li>Weight: 13 lb</li></ul>","Verdance","Waste Systems","waste-systems, sensor","TRUE","Finish","Mirror Steel","VD-023","5897","shopify","25","deny","manual","169.00","189.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/grove-sensor-can-stainless.webp","Grove Sensor Can Stainless","active"
"grove-recycling-trio","Grove Recycling Trio","<p>Three labeled streams—landfill, recycle, compost—on a rolling base.</p><ul><li>Material: Powder-coated steel</li><li>Size: 32"" × 14"" × 28""</li><li>Finish: Forest</li><li>Highlight: Three streams</li><li>Weight: 28 lb</li></ul>","Verdance","Waste Systems","waste-systems, recycle, trio","TRUE","Finish","Forest","VD-024","12701","shopify","25","deny","manual","219.00","249.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/grove-recycling-trio.webp","Grove Recycling Trio","active"
"fern-pedal-free-slim-can","Fern Pedal-Free Slim Can","<p>Hands-free IR can in a 10-inch footprint. Ideal beside a prep counter.</p><ul><li>Material: Recycled ABS</li><li>Size: 10"" × 10"" × 24""</li><li>Finish: Sage</li><li>Highlight: Hands-free</li><li>Weight: 6 lb</li></ul>","Verdance","Waste Systems","waste-systems, sensor, slim","TRUE","Finish","Sage","VD-025","2722","shopify","25","deny","manual","89.00","99.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/fern-pedal-free-slim-can.webp","Fern Pedal-Free Slim Can","active"
"fern-under-sink-recycle-drawer","Fern Under-Sink Recycle Drawer","<p>Pull-out dual bins that mount to a cabinet floor. Soft-close slides.</p><ul><li>Material: Recycled PP</li><li>Size: 18"" × 14"" × 16""</li><li>Finish: Natural</li><li>Highlight: Under-sink</li><li>Weight: 9 lb</li></ul>","Verdance","Waste Systems","waste-systems, recycle, cabinet","TRUE","Finish","Natural","VD-026","4082","shopify","25","deny","manual","119.00","139.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/fern-under-sink-recycle-drawer.webp","Fern Under-Sink Recycle Drawer","active"
"alder-kitchen-compactor","Alder Kitchen Compactor","<p>Full-size kitchen compactor with odor filter and a reusable ram bag.</p><ul><li>Material: Stainless steel</li><li>Size: 15"" × 24"" × 35""</li><li>Finish: Brushed Steel</li><li>Highlight: Full-size compact</li><li>Weight: 78 lb</li></ul>","Verdance","Waste Systems","waste-systems, compactor","TRUE","Finish","Brushed Steel","VD-027","35380","shopify","25","deny","manual","449.00","519.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/alder-kitchen-compactor.webp","Alder Kitchen Compactor","active"
"alder-dual-stream-sensor-can","Alder Dual-Stream Sensor Can","<p>Split lid: one sensor for trash, one for recycle. Shared stainless body.</p><ul><li>Material: Stainless steel</li><li>Size: 22"" × 13"" × 28""</li><li>Finish: Graphite</li><li>Highlight: Split sensor</li><li>Weight: 18 lb</li></ul>","Verdance","Waste Systems","waste-systems, sensor, dual","TRUE","Finish","Graphite","VD-028","8165","shopify","25","deny","manual","199.00","229.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/alder-dual-stream-sensor-can.webp","Alder Dual-Stream Sensor Can","active"
"willow-hands-free-can-16-gal","Willow Hands-Free Can 16 Gal","<p>Wave-open lid, liner cinch, and a sealed base that wipes clean.</p><ul><li>Material: Stainless steel</li><li>Size: 16"" × 13"" × 29""</li><li>Finish: Matte Nickel</li><li>Highlight: 16 gal</li><li>Weight: 13 lb</li></ul>","Verdance","Waste Systems","waste-systems, sensor","TRUE","Finish","Matte Nickel","VD-029","5897","shopify","25","deny","manual","139.00","159.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/willow-hands-free-can-16-gal.webp","Willow Hands-Free Can 16 Gal","active"
"willow-recycle-bag-dispenser","Willow Recycle Bag Dispenser","<p>Wall or cabinet dispenser for compostable and recycle bags. Spring feed.</p><ul><li>Material: Recycled ABS</li><li>Size: 8"" × 4"" × 10""</li><li>Finish: Sage</li><li>Highlight: Bag dispenser</li><li>Weight: 2 lb</li></ul>","Verdance","Waste Systems","waste-systems, recycle, bags","TRUE","Finish","Sage","VD-030","907","shopify","25","deny","manual","49.00","59.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/willow-recycle-bag-dispenser.webp","Willow Recycle Bag Dispenser","active"
"sage-sensor-can-matte","Sage Sensor Can Matte","<p>Matte-coated sensor can that hides fingerprints. 13-gallon liner fit.</p><ul><li>Material: Powder-coated steel</li><li>Size: 15"" × 12"" × 27""</li><li>Finish: Matte Sage</li><li>Highlight: Fingerprint-hide</li><li>Weight: 11 lb</li></ul>","Verdance","Waste Systems","waste-systems, sensor","TRUE","Finish","Matte Sage","VD-031","4990","shopify","25","deny","manual","119.00","139.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/sage-sensor-can-matte.webp","Sage Sensor Can Matte","active"
"sage-apartment-compactor","Sage Apartment Compactor","<p>Half-height compactor for rentals and small kitchens. Rolls out on casters.</p><ul><li>Material: Powder-coated steel</li><li>Size: 16"" × 20"" × 28""</li><li>Finish: Soft White</li><li>Highlight: Apartment-scale</li><li>Weight: 48 lb</li></ul>","Verdance","Waste Systems","waste-systems, compactor","TRUE","Finish","Soft White","VD-032","21772","shopify","25","deny","manual","329.00","369.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/sage-apartment-compactor.webp","Sage Apartment Compactor","active"
"canopy-energy-star-dehumidifier-30-pint","Canopy Energy Star Dehumidifier 30 Pint","<p>Bedroom and living-room unit with auto-defrost and a washable filter.</p><ul><li>Material: Recycled ABS</li><li>Size: 14"" × 11"" × 20""</li><li>Finish: Soft White</li><li>Highlight: Energy Star · 30 pint</li><li>Weight: 32 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, energy-star, 30-pint","TRUE","Finish","Soft White","VD-033","14515","shopify","25","deny","manual","229.00","259.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/canopy-energy-star-dehumidifier-30-pint.webp","Canopy Energy Star Dehumidifier 30 Pint","active"
"canopy-compact-bedroom-dehumidifier","Canopy Compact Bedroom Dehumidifier","<p>Low-noise 20-pint class unit with a night dimmer on the display.</p><ul><li>Material: Recycled ABS</li><li>Size: 12"" × 9"" × 17""</li><li>Finish: Cloud</li><li>Highlight: Quiet night mode</li><li>Weight: 24 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, bedroom, quiet","TRUE","Finish","Cloud","VD-034","10886","shopify","25","deny","manual","159.00","179.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/canopy-compact-bedroom-dehumidifier.webp","Canopy Compact Bedroom Dehumidifier","active"
"root-basement-dehumidifier-50-pint","Root Basement Dehumidifier 50 Pint","<p>High-capacity Energy Star unit with a continuous-drain hose port.</p><ul><li>Material: Recycled ABS</li><li>Size: 16"" × 12"" × 24""</li><li>Finish: Graphite</li><li>Highlight: Energy Star · 50 pint</li><li>Weight: 42 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, basement, energy-star","TRUE","Finish","Graphite","VD-035","19051","shopify","25","deny","manual","299.00","339.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/root-basement-dehumidifier-50-pint.webp","Root Basement Dehumidifier 50 Pint","active"
"root-crawl-space-dehumidifier","Root Crawl-Space Dehumidifier","<p>Low-profile unit for crawl spaces with a condensate pump option.</p><ul><li>Material: Powder-coated steel</li><li>Size: 21"" × 14"" × 12""</li><li>Finish: Slate</li><li>Highlight: Crawl-space fit</li><li>Weight: 45 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, crawl-space","TRUE","Finish","Slate","VD-036","20412","shopify","25","deny","manual","349.00","389.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/root-crawl-space-dehumidifier.webp","Root Crawl-Space Dehumidifier","active"
"moss-quiet-dehumidifier-35-pint","Moss Quiet Dehumidifier 35 Pint","<p>Insulated compressor housing for open living rooms. Auto humidity set-point.</p><ul><li>Material: Recycled ABS</li><li>Size: 15"" × 11"" × 21""</li><li>Finish: Sage</li><li>Highlight: Whisper-quiet</li><li>Weight: 34 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, quiet, 35-pint","TRUE","Finish","Sage","VD-037","15422","shopify","25","deny","manual","249.00","279.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/moss-quiet-dehumidifier-35-pint.webp","Moss Quiet Dehumidifier 35 Pint","active"
"moss-whole-room-dehumidifier","Moss Whole-Room Dehumidifier","<p>Wide-throw grille and a 1.5-gallon bucket with auto-shutoff.</p><ul><li>Material: Recycled ABS</li><li>Size: 16"" × 12"" × 23""</li><li>Finish: Forest</li><li>Highlight: Whole-room coverage</li><li>Weight: 38 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, whole-room","TRUE","Finish","Forest","VD-038","17236","shopify","25","deny","manual","279.00","309.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/moss-whole-room-dehumidifier.webp","Moss Whole-Room Dehumidifier","active"
"grove-energy-star-dehumidifier-22-pint","Grove Energy Star Dehumidifier 22 Pint","<p>Small-room Energy Star unit for closets converted to offices.</p><ul><li>Material: Recycled ABS</li><li>Size: 13"" × 10"" × 18""</li><li>Finish: White</li><li>Highlight: Energy Star · 22 pint</li><li>Weight: 26 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, energy-star","TRUE","Finish","White","VD-039","11793","shopify","25","deny","manual","189.00","209.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/grove-energy-star-dehumidifier-22-pint.webp","Grove Energy Star Dehumidifier 22 Pint","active"
"grove-smart-humidity-dehumidifier","Grove Smart Humidity Dehumidifier","<p>Wi-Fi humidity logging and a schedule that follows outdoor dew point.</p><ul><li>Material: Recycled ABS</li><li>Size: 15"" × 11"" × 22""</li><li>Finish: Graphite</li><li>Highlight: App humidity log</li><li>Weight: 36 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, smart, energy-star","TRUE","Finish","Graphite","VD-040","16329","shopify","25","deny","manual","319.00","359.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/grove-smart-humidity-dehumidifier.webp","Grove Smart Humidity Dehumidifier","active"
"fern-portable-dehumidifier","Fern Portable Dehumidifier","<p>Carry-handle 16-pint unit for guest rooms and seasonal damp.</p><ul><li>Material: Recycled ABS</li><li>Size: 11"" × 8"" × 16""</li><li>Finish: Sage</li><li>Highlight: Portable 16 pint</li><li>Weight: 18 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, portable","TRUE","Finish","Sage","VD-041","8165","shopify","25","deny","manual","139.00","159.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/fern-portable-dehumidifier.webp","Fern Portable Dehumidifier","active"
"fern-closet-dehumidifier-mini","Fern Closet Dehumidifier Mini","<p>Thermo-electric mini unit for closets, safes, and instrument cases.</p><ul><li>Material: Recycled ABS</li><li>Size: 7"" × 5"" × 9""</li><li>Finish: Soft White</li><li>Highlight: Closet-scale</li><li>Weight: 4 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, mini, closet","TRUE","Finish","Soft White","VD-042","1814","shopify","25","deny","manual","79.00","89.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/fern-closet-dehumidifier-mini.webp","Fern Closet Dehumidifier Mini","active"
"alder-high-capacity-dehumidifier-70-pint","Alder High-Capacity Dehumidifier 70 Pint","<p>Workshop and large-basement Energy Star machine with pump-ready drain.</p><ul><li>Material: Powder-coated steel</li><li>Size: 17"" × 13"" × 26""</li><li>Finish: Brushed Steel</li><li>Highlight: Energy Star · 70 pint</li><li>Weight: 52 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, energy-star, 70-pint","TRUE","Finish","Brushed Steel","VD-043","23587","shopify","25","deny","manual","399.00","449.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/alder-high-capacity-dehumidifier-70-pint.webp","Alder High-Capacity Dehumidifier 70 Pint","active"
"alder-smart-basement-dehumidifier","Alder Smart Basement Dehumidifier","<p>50-pint class with leak-sensor input and a filter-change reminder.</p><ul><li>Material: Recycled ABS</li><li>Size: 16"" × 12"" × 24""</li><li>Finish: Slate</li><li>Highlight: Leak-sensor ready</li><li>Weight: 44 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, smart, basement","TRUE","Finish","Slate","VD-044","19958","shopify","25","deny","manual","369.00","409.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/alder-smart-basement-dehumidifier.webp","Alder Smart Basement Dehumidifier","active"
"willow-energy-star-dehumidifier-50-pint","Willow Energy Star Dehumidifier 50 Pint","<p>Classic 50-pint Energy Star with a washable pre-filter and caster set.</p><ul><li>Material: Recycled ABS</li><li>Size: 16"" × 12"" × 24""</li><li>Finish: White</li><li>Highlight: Energy Star · 50 pint</li><li>Weight: 41 lb</li></ul>","Verdance","Dehumidifiers","dehumidifiers, energy-star","TRUE","Finish","White","VD-045","18597","shopify","25","deny","manual","289.00","319.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/willow-energy-star-dehumidifier-50-pint.webp","Willow Energy Star Dehumidifier 50 Pint","active"
